score: 2888.8013174019607, reward: 4.9760263480392135, states: 2640, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 2628.3737745098038, reward: 1.4074754901960773, states: 2558, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 3454.994332107843, reward: 1.5798866421568614, states: 3376, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 1746.0, reward: 0.0, states: 1746, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 279.0, reward: 0.0, states: 279, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 6832.0, reward: 0.0, states: 6832, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 5150.743259803921, reward: 1.8348651960784312, states: 5059, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 3082.25, reward: 3.124999999999998, states: 2926, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 1787.0, reward: 0.0, states: 1787, train_cnt: 0, mutation_cnt: 0, seq_num: 33
score: 6144.212009803921, reward: 1.94424019607843, states: 6047, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 2706.448529411765, reward: 6.988970588235293, states: 2357, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 1890.514705882353, reward: 1.6102941176470589, states: 1810, train_cnt: 0, mutation_cnt: 1, seq_num: 37
score: 3220.3609068627447, reward: 6.967218137254896, states: 2872, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 2488.685968137255, reward: 3.4937193627450984, states: 2314, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 1864.6078431372548, reward: 0.39215686274509814, states: 1845, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 6862.871323529412, reward: 2.5974264705882333, states: 6733, train_cnt: 0, mutation_cnt: 1, seq_num: 43
score: 785.0, reward: 0.0, states: 785, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 497.0, reward: 0.0, states: 497, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 4233.2162990196075, reward: 3.924325980392155, states: 4037, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 6571.0, reward: 0.0, states: 6571, train_cnt: 0, mutation_cnt: 1, seq_num: 47
