score: 3029.0, reward: 0.0, states: 3029, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5622.0, reward: 0.0, states: 5622, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 4419.395833333333, reward: 3.447916666666668, states: 4247, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 3326.2743055555557, reward: 4.8454861111111125, states: 3084, train_cnt: 0, mutation_cnt: 0, seq_num: 125
score: 8083.0, reward: 0.0, states: 8083, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 3018.9201388888887, reward: 2.118402777777777, states: 2913, train_cnt: 0, mutation_cnt: 0, seq_num: 49
score: 4660.0, reward: 0.0, states: 4660, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 3342.75, reward: 2.075, states: 3239, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 8215.458333333334, reward: 3.8291666666666644, states: 8024, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 4343.0, reward: 0.0, states: 4343, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6225.5, reward: 0.04999999999999991, states: 6223, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 3658.1458333333335, reward: 5.32291666666667, states: 3392, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8523.659722222223, reward: 3.7131944444444422, states: 8338, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 6521.173611111111, reward: 0.20347222222222222, states: 6511, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 3923.0, reward: 0.0, states: 3923, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 3918.0, reward: 0.0, states: 3918, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 7928.402777777777, reward: 3.468055555555553, states: 7755, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 3646.1805555555557, reward: 4.923611111111116, states: 3400, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 3272.0, reward: 0.0, states: 3272, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 2701.0, reward: 0.0, states: 2701, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8862.520833333334, reward: 0.11041666666666665, states: 8857, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 8302.791666666666, reward: 3.89583333333333, states: 8108, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 5148.819444444444, reward: 4.97638888888889, states: 4900, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 2905.0, reward: 0.0, states: 2905, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 5254.041666666667, reward: 1.4208333333333334, states: 5183, train_cnt: 0, mutation_cnt: 2, seq_num: 158
score: 3708.7743055555557, reward: 5.095486111111111, states: 3454, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 3001.0, reward: 0.0, states: 3001, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 3191.0, reward: 0.0, states: 3191, train_cnt: 0, mutation_cnt: 2, seq_num: 158
score: 2569.0, reward: 0.0, states: 2569, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4402.451388888889, reward: 3.8090277777777763, states: 4212, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 5115.0, reward: 0.0, states: 5115, train_cnt: 0, mutation_cnt: 1, seq_num: 144
score: 5015.86328125, reward: 1.4972656249999994, states: 4941, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 4460.930555555556, reward: 3.0986111111111154, states: 4306, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4432.381944444444, reward: 3.6076388888888884, states: 4252, train_cnt: 0, mutation_cnt: 2, seq_num: 145
score: 5032.3125, reward: 0.00625, states: 5032, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 9126.458333333332, reward: 3.429166666666659, states: 8955, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 6421.211805555556, reward: 3.66423611111111, states: 6238, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 12242.407986111111, reward: 3.4081597222222215, states: 12072, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 4471.489583333333, reward: 3.8697916666666665, states: 4278, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 3591.9756944444443, reward: 4.279513888888885, states: 3378, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 9681.854166666666, reward: 3.7770833333333322, states: 9493, train_cnt: 0, mutation_cnt: 3, seq_num: 89
score: 4052.6041666666665, reward: 0.3520833333333339, states: 4035, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 4224.520833333333, reward: 1.1104166666666662, states: 4169, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 15702.0, reward: 0.0, states: 15702, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 4333.0, reward: 0.0, states: 4333, train_cnt: 0, mutation_cnt: 1, seq_num: 98
score: 4966.520833333333, reward: 0.010416666666666666, states: 4966, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8504.083333333332, reward: 3.341666666666658, states: 8337, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 11142.711805555555, reward: 0.31423611111111105, states: 11127, train_cnt: 0, mutation_cnt: 3, seq_num: 159
score: 5888.916666666667, reward: 0.6583333333333345, states: 5856, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 7796.625, reward: 3.7124999999999972, states: 7611, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 3418.3715277777774, reward: 4.227430555555549, states: 3207, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 3704.0, reward: 0.0, states: 3704, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 5916.809027777777, reward: 3.796180555555555, states: 5727, train_cnt: 0, mutation_cnt: 3, seq_num: 152
score: 5451.104166666667, reward: 0.3020833333333332, states: 5436, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 4350.75, reward: 1.3750000000000007, states: 4282, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 3869.0, reward: 1.699999999999998, states: 3784, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 3664.3888888888887, reward: 2.327777777777777, states: 3548, train_cnt: 0, mutation_cnt: 3, seq_num: 159
score: 4204.104166666667, reward: 0.0020833333333333333, states: 4204, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 2858.3541666666665, reward: 0.02708333333333333, states: 2857, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 3522.822916666667, reward: 5.036458333333335, states: 3271, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 5165.0, reward: 0.0, states: 5165, train_cnt: 0, mutation_cnt: 2, seq_num: 66
score: 8085.0, reward: 3.699999999999998, states: 7900, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 8862.75, reward: 2.6750000000000043, states: 8729, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 1054.0, reward: 0.0, states: 1054, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 16983.0, reward: 0.0, states: 16983, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 4189.541666666667, reward: 0.6708333333333327, states: 4156, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 7642.739583333333, reward: 4.094791666666667, states: 7438, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 7125.791666666666, reward: 3.1958333333333235, states: 6966, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 10196.858506944445, reward: 3.877170138888887, states: 10003, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 1051.0, reward: 0.0, states: 1051, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8080.6875, reward: 5.093749999999994, states: 7826, train_cnt: 0, mutation_cnt: 3, seq_num: 157
score: 3229.5833333333335, reward: 1.9916666666666667, states: 3130, train_cnt: 0, mutation_cnt: 3, seq_num: 0
