score: 4405.934027777778, reward: 4.258680555555558, states: 4193, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 3532.0, reward: 0.0, states: 3532, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 3890.0, reward: 0.0, states: 3890, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5473.329861111111, reward: 2.5065972222222257, states: 5348, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5225.901475694444, reward: 2.0580295138888896, states: 5123, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6014.875, reward: 1.7375000000000012, states: 5928, train_cnt: 0, mutation_cnt: 0, seq_num: 151
score: 7342.0, reward: 0.0, states: 7342, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 4160.9375, reward: 1.0187499999999998, states: 4110, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 4467.59375, reward: 4.171874999999995, states: 4259, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 2636.0, reward: 0.0, states: 2636, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 2236.0, reward: 0.0, states: 2236, train_cnt: 0, mutation_cnt: 1, seq_num: 158
score: 4337.229166666667, reward: 4.864583333333338, states: 4094, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 3502.670138888889, reward: 4.793402777777782, states: 3263, train_cnt: 0, mutation_cnt: 1, seq_num: 67
score: 4675.125, reward: 0.2625, states: 4662, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 5421.3125, reward: 0.7062500000000009, states: 5386, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 3806.1631944444443, reward: 5.123263888888887, states: 3550, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8277.125, reward: 3.362499999999989, states: 8109, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 8333.0, reward: 3.8999999999999977, states: 8138, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 4824.328125, reward: 1.7265624999999987, states: 4738, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 5522.916666666667, reward: 0.15833333333333333, states: 5515, train_cnt: 0, mutation_cnt: 1, seq_num: 159
score: 5507.0, reward: 0.0, states: 5507, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 3796.815972222222, reward: 4.116319444444441, states: 3591, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 4074.9791666666665, reward: 1.0395833333333333, states: 4023, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 8625.083333333334, reward: 2.7416666666666694, states: 8488, train_cnt: 0, mutation_cnt: 2, seq_num: 158
score: 5828.965277777778, reward: 2.199305555555557, states: 5719, train_cnt: 0, mutation_cnt: 1, seq_num: 157
score: 3372.4375, reward: 1.9687499999999996, states: 3274, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 4256.0, reward: 0.0, states: 4256, train_cnt: 0, mutation_cnt: 2, seq_num: 157
score: 4402.885416666667, reward: 4.317708333333334, states: 4187, train_cnt: 0, mutation_cnt: 2, seq_num: 0
score: 6870.795138888889, reward: 4.655902777777774, states: 6638, train_cnt: 0, mutation_cnt: 1, seq_num: 158
score: 1885.2083333333333, reward: 0.004166666666666667, states: 1885, train_cnt: 0, mutation_cnt: 2, seq_num: 159
score: 10135.0, reward: 0.0, states: 10135, train_cnt: 0, mutation_cnt: 2, seq_num: 158
