score: 1786.7638888888887, reward: 3.715277777777775, states: 1601, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 1456.0, reward: 0.0, states: 1456, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 1597.0, reward: 0.0, states: 1597, train_cnt: 0, mutation_cnt: 0, seq_num: 47
score: 1390.9722222222222, reward: 2.3194444444444438, states: 1275, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 1419.0555555555557, reward: 1.861111111111111, states: 1326, train_cnt: 0, mutation_cnt: 0, seq_num: 46
score: 1552.2962962962963, reward: 4.4259259259259265, states: 1331, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 828.0, reward: 0.0, states: 828, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 2544.6666666666665, reward: 3.333333333333329, states: 2378, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 1492.986111111111, reward: 0.15972222222222218, states: 1485, train_cnt: 0, mutation_cnt: 0, seq_num: 45
score: 1501.5694444444443, reward: 3.951388888888886, states: 1304, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 1304.7777777777778, reward: 0.05555555555555556, states: 1302, train_cnt: 0, mutation_cnt: 1, seq_num: 45
score: 1119.0, reward: 0.0, states: 1119, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 1252.0, reward: 0.0, states: 1252, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 1470.0, reward: 0.0, states: 1470, train_cnt: 0, mutation_cnt: 1, seq_num: 45
score: 1203.0, reward: 0.0, states: 1203, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 1272.6875000000002, reward: 4.593750000000003, states: 1043, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 484.0, reward: 0.0, states: 484, train_cnt: 0, mutation_cnt: 1, seq_num: 45
score: 1479.3009259259259, reward: 4.206018518518518, states: 1269, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 5636.092592592592, reward: 0.10185185185185185, states: 5631, train_cnt: 0, mutation_cnt: 1, seq_num: 47
score: 1481.5393518518517, reward: 4.130787037037035, states: 1275, train_cnt: 0, mutation_cnt: 1, seq_num: 0
score: 2306.261574074074, reward: 18.325231481481477, states: 1390, train_cnt: 1, mutation_cnt: 1, seq_num: 38
score: 2453.833622685185, reward: 14.496672453703708, states: 1729, train_cnt: 1, mutation_cnt: 1, seq_num: 46
score: 2849.0462962962965, reward: 9.300925925925926, states: 2384, train_cnt: 1, mutation_cnt: 1, seq_num: 45
score: 2485.909722222222, reward: 19.538194444444443, states: 1509, train_cnt: 1, mutation_cnt: 1, seq_num: 36
score: 1881.8194444444446, reward: 8.076388888888891, states: 1478, train_cnt: 1, mutation_cnt: 1, seq_num: 47
score: 2117.398148148148, reward: 12.587962962962962, states: 1488, train_cnt: 1, mutation_cnt: 0, seq_num: 43
score: 2441.0324074074074, reward: 18.96064814814815, states: 1493, train_cnt: 2, mutation_cnt: 1, seq_num: 27
score: 1654.3518518518522, reward: 8.287037037037042, states: 1240, train_cnt: 1, mutation_cnt: 0, seq_num: 32
score: 2455.9236111111113, reward: 17.378472222222225, states: 1587, train_cnt: 2, mutation_cnt: 1, seq_num: 43
score: 1830.641203703704, reward: 11.292824074074076, states: 1266, train_cnt: 1, mutation_cnt: 0, seq_num: 39
score: 1684.0, reward: 0.0, states: 1684, train_cnt: 2, mutation_cnt: 2, seq_num: 46
score: 1757.0277777777776, reward: 1.680555555555553, states: 1673, train_cnt: 1, mutation_cnt: 1, seq_num: 47
score: 1299.0833333333335, reward: 4.541666666666669, states: 1072, train_cnt: 1, mutation_cnt: 2, seq_num: 0
score: 1130.6666666666667, reward: 0.3333333333333335, states: 1114, train_cnt: 1, mutation_cnt: 2, seq_num: 32
score: 2182.7175925925926, reward: 2.91435185185185, states: 2037, train_cnt: 1, mutation_cnt: 2, seq_num: 45
