score: 1487.0, reward: 0.0, states: 1487, train_cnt: 0, mutation_cnt: 0
score: 1049.9722222222222, reward: 1.319444444444445, states: 984, train_cnt: 0, mutation_cnt: 0
score: 1483.0, reward: 0.0, states: 1483, train_cnt: 0, mutation_cnt: 0
score: 1284.0, reward: 0.0, states: 1284, train_cnt: 0, mutation_cnt: 0
score: 1348.0, reward: 0.0, states: 1348, train_cnt: 0, mutation_cnt: 0
score: 3054.267071759259, reward: 5.845341435185179, states: 2762, train_cnt: 0, mutation_cnt: 0
score: 2059.0, reward: 0.0, states: 2059, train_cnt: 0, mutation_cnt: 0
score: 1289.0833333333333, reward: 0.041666666666666664, states: 1287, train_cnt: 0, mutation_cnt: 0
score: 2483.111111111111, reward: 3.722222222222219, states: 2297, train_cnt: 0, mutation_cnt: 0
score: 2121.0555555555557, reward: 2.861111111111109, states: 1978, train_cnt: 0, mutation_cnt: 0
score: 2000.1851851851852, reward: 7.703703703703702, states: 1615, train_cnt: 1, mutation_cnt: 1
score: 2323.2407407407404, reward: 16.064814814814806, states: 1520, train_cnt: 3, mutation_cnt: 1
score: 2386.7893518518517, reward: 18.755787037037035, states: 1449, train_cnt: 4, mutation_cnt: 1
score: 2044.1898148148148, reward: 8.483796296296298, states: 1620, train_cnt: 4, mutation_cnt: 1
score: 2917.685185185185, reward: 15.453703703703702, states: 2145, train_cnt: 5, mutation_cnt: 1
score: 2455.875, reward: 18.937499999999996, states: 1509, train_cnt: 6, mutation_cnt: 1
score: 2538.6319444444443, reward: 18.73263888888889, states: 1602, train_cnt: 8, mutation_cnt: 2
score: 2423.7060185185182, reward: 19.71412037037037, states: 1438, train_cnt: 9, mutation_cnt: 2
score: 1495.0, reward: 0.0, states: 1495, train_cnt: 0, mutation_cnt: 0
score: 741.0, reward: 0.0, states: 741, train_cnt: 0, mutation_cnt: 0
score: 2426.3333333333335, reward: 1.6666666666666667, states: 2343, train_cnt: 0, mutation_cnt: 0
score: 332.0, reward: 0.0, states: 332, train_cnt: 0, mutation_cnt: 0
score: 336.0, reward: 0.0, states: 336, train_cnt: 0, mutation_cnt: 0
score: 1272.0, reward: 0.0, states: 1272, train_cnt: 0, mutation_cnt: 0
score: 1289.7245370370372, reward: 5.334490740740743, states: 1023, train_cnt: 0, mutation_cnt: 0
score: 1147.3425925925926, reward: 4.726851851851852, states: 911, train_cnt: 0, mutation_cnt: 0
score: 1318.4398148148148, reward: 5.108796296296295, states: 1063, train_cnt: 0, mutation_cnt: 0
score: 1804.0, reward: 0.0, states: 1804, train_cnt: 0, mutation_cnt: 0
score: 1625.2060185185187, reward: 7.464120370370373, states: 1252, train_cnt: 1, mutation_cnt: 0
score: 1507.3541666666665, reward: 5.427083333333332, states: 1236, train_cnt: 1, mutation_cnt: 1
score: 2490.0162037037035, reward: 6.480324074074073, states: 2166, train_cnt: 1, mutation_cnt: 0
score: 1795.4791666666667, reward: 8.989583333333334, states: 1346, train_cnt: 1, mutation_cnt: 0
score: 2591.747685185185, reward: 11.734953703703702, states: 2005, train_cnt: 1, mutation_cnt: 0
score: 3856.9027777777774, reward: 10.618055555555552, states: 3326, train_cnt: 1, mutation_cnt: 0
score: 2120.164351851852, reward: 10.443287037037038, states: 1598, train_cnt: 1, mutation_cnt: 0
score: 1305.2222222222222, reward: 5.444444444444443, states: 1033, train_cnt: 1, mutation_cnt: 0
score: 2516.8518518518517, reward: 8.037037037037036, states: 2115, train_cnt: 1, mutation_cnt: 0
score: 2297.4513888888887, reward: 17.309027777777775, states: 1432, train_cnt: 1, mutation_cnt: 0
score: 2932.2569444444443, reward: 10.545138888888888, states: 2405, train_cnt: 1, mutation_cnt: 0
score: 2043.425925925926, reward: 10.768518518518519, states: 1505, train_cnt: 2, mutation_cnt: 1
score: 2482.7314814814818, reward: 19.75462962962963, states: 1495, train_cnt: 2, mutation_cnt: 0
score: 2443.0, reward: 20.0, states: 1443, train_cnt: 2, mutation_cnt: 0
score: 2390.696759259259, reward: 19.153935185185187, states: 1433, train_cnt: 2, mutation_cnt: 0
score: 3329.9189814814813, reward: 14.098379629629628, states: 2625, train_cnt: 2, mutation_cnt: 1
score: 2553.0, reward: 20.0, states: 1553, train_cnt: 2, mutation_cnt: 0
score: 2452.0, reward: 20.0, states: 1452, train_cnt: 2, mutation_cnt: 0
score: 2147.0486111111113, reward: 15.440972222222223, states: 1375, train_cnt: 2, mutation_cnt: 0
score: 3037.1550925925926, reward: 13.88310185185185, states: 2343, train_cnt: 2, mutation_cnt: 0
score: 2490.335648148148, reward: 19.806712962962962, states: 1500, train_cnt: 2, mutation_cnt: 0
score: 2858.349537037037, reward: 15.64699074074074, states: 2076, train_cnt: 2, mutation_cnt: 0
score: 2485.027777777778, reward: 18.680555555555554, states: 1551, train_cnt: 3, mutation_cnt: 1
score: 2456.0, reward: 20.0, states: 1456, train_cnt: 3, mutation_cnt: 0
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 3, mutation_cnt: 0
score: 2431.0, reward: 20.0, states: 1431, train_cnt: 3, mutation_cnt: 1
score: 2559.0, reward: 20.0, states: 1559, train_cnt: 3, mutation_cnt: 0
score: 2420.590277777778, reward: 19.211805555555557, states: 1460, train_cnt: 3, mutation_cnt: 0
score: 2252.715277777778, reward: 17.274305555555557, states: 1389, train_cnt: 3, mutation_cnt: 0
score: 2449.784722222222, reward: 18.475694444444443, states: 1526, train_cnt: 3, mutation_cnt: 0
score: 2434.0, reward: 20.0, states: 1434, train_cnt: 3, mutation_cnt: 0
score: 2626.6712962962965, reward: 19.613425925925927, states: 1646, train_cnt: 3, mutation_cnt: 0
score: 2442.300925925926, reward: 19.20601851851852, states: 1482, train_cnt: 4, mutation_cnt: 1
score: 2452.0, reward: 20.0, states: 1452, train_cnt: 4, mutation_cnt: 0
