score: 7552.424045138889, reward: 0.24848090277777776, states: 7540, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 3995.0, reward: 0.0, states: 3995, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 5399.168836805556, reward: 0.08337673611111114, states: 5395, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5554.097222222222, reward: 2.381944444444443, states: 5435, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 23495.0, reward: 0.0, states: 23495, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 2905.0, reward: 0.0, states: 2905, train_cnt: 0, mutation_cnt: 0, seq_num: 0
score: 3785.2638888888887, reward: 3.8652777777777736, states: 3592, train_cnt: 0, mutation_cnt: 0, seq_num: 42
score: 4405.0, reward: 0.0, states: 4405, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 4265.0, reward: 0.0, states: 4265, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 2284.0, reward: 0.0, states: 2284, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5758.924479166667, reward: 1.4184895833333333, states: 5688, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5867.76171875, reward: 1.4152343750000005, states: 5797, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6819.541666666667, reward: 1.4708333333333337, states: 6746, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5947.404947916667, reward: 1.3680989583333336, states: 5879, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5637.219618055556, reward: 1.4243923611111107, states: 5566, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5642.042100694444, reward: 1.4408420138888887, states: 5570, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5611.404513888889, reward: 1.4480902777777778, states: 5539, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5311.315538194444, reward: 1.4463107638888895, states: 5239, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6542.550347222223, reward: 1.471006944444445, states: 6469, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5758.067708333333, reward: 1.4213541666666658, states: 5687, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6022.835069444444, reward: 1.4967013888888876, states: 5948, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5893.407552083333, reward: 1.4881510416666672, states: 5819, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6296.500868055556, reward: 1.5900173611111108, states: 6217, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5660.700520833333, reward: 1.394010416666667, states: 5591, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6134.367621527777, reward: 1.4473524305555554, states: 6062, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5802.810763888889, reward: 1.3762152777777783, states: 5734, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6145.651475694444, reward: 1.5330295138888885, states: 6069, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6381.621961805556, reward: 1.3724392361111108, states: 6313, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5612.7890625, reward: 1.47578125, states: 5539, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5545.515190972223, reward: 1.350303819444444, states: 5478, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6200.885416666667, reward: 1.417708333333333, states: 6130, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6220.111111111111, reward: 1.5222222222222217, states: 6144, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5815.077256944444, reward: 1.4615451388888887, states: 5742, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5572.490017361111, reward: 1.3898003472222225, states: 5503, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6182.579427083333, reward: 1.4115885416666665, states: 6112, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5844.766927083333, reward: 1.4553385416666664, states: 5772, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5368.187934027777, reward: 1.363758680555556, states: 5300, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5951.809027777777, reward: 1.4961805555555552, states: 5877, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5703.828125, reward: 1.4765624999999993, states: 5630, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5970.039496527777, reward: 1.4207899305555551, states: 5899, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5767.313802083333, reward: 1.4662760416666667, states: 5694, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5776.174913194444, reward: 1.4634982638888892, states: 5703, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5920.549913194444, reward: 1.450998263888889, states: 5848, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5864.484809027777, reward: 1.4496961805555553, states: 5792, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5860.592881944444, reward: 1.4318576388888895, states: 5789, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6063.942274305556, reward: 1.4388454861111108, states: 5992, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5842.197916666667, reward: 1.4239583333333334, states: 5771, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6197.661892361111, reward: 1.413237847222222, states: 6127, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6728.563368055556, reward: 1.371267361111111, states: 6660, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5750.701388888889, reward: 1.434027777777778, states: 5679, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5561.95703125, reward: 1.4191406249999998, states: 5491, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5159.162326388889, reward: 1.4832465277777778, states: 5085, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5709.645833333333, reward: 1.3729166666666663, states: 5641, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5812.462239583333, reward: 1.5092447916666674, states: 5737, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5541.788194444444, reward: 1.5357638888888885, states: 5465, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5751.931423611111, reward: 1.4386284722222218, states: 5680, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6240.192708333333, reward: 1.3838541666666666, states: 6171, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5849.915798611111, reward: 1.4183159722222223, states: 5779, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6133.37890625, reward: 1.367578125, states: 6065, train_cnt: 0, mutation_cnt: 0, seq_num: 156
score: 5756.786024305556, reward: 1.435720486111111, states: 5685, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 6010.221354166667, reward: 1.4044270833333334, states: 5940, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5692.335069444444, reward: 1.4467013888888896, states: 5620, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5683.928385416667, reward: 1.3985677083333325, states: 5614, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6191.795572916667, reward: 1.475911458333333, states: 6118, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5594.763888888889, reward: 1.4152777777777779, states: 5524, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5646.82421875, reward: 1.396484375, states: 5577, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5664.877170138889, reward: 1.4375434027777778, states: 5593, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5682.026909722223, reward: 1.4405381944444442, states: 5610, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5899.045572916667, reward: 1.5009114583333336, states: 5824, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5358.297743055556, reward: 1.3259548611111116, states: 5292, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5634.483506944444, reward: 1.389670138888889, states: 5565, train_cnt: 0, mutation_cnt: 0, seq_num: 158
score: 5932.773003472223, reward: 1.4354600694444446, states: 5861, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 6085.828559027777, reward: 1.596571180555555, states: 6006, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5311.299913194444, reward: 1.4259982638888895, states: 5240, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6110.314670138889, reward: 1.4062934027777783, states: 6040, train_cnt: 0, mutation_cnt: 0, seq_num: 157
score: 5529.525173611111, reward: 1.4105034722222223, states: 5459, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 5854.8125, reward: 1.5562499999999992, states: 5777, train_cnt: 0, mutation_cnt: 0, seq_num: 159
score: 6236.700520833333, reward: 1.3940104166666671, states: 6167, train_cnt: 0, mutation_cnt: 0, seq_num: 159
